Search term, Cost , GP , Net Profit ,ROI, NP/Conv , GP/Conv ,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate,View-through conv.
75 ft telephone cable,0.03,1.52,1.49,49.67,1.49,1.52,1,1,2,50.54,0.5,0.03,0,0.03,1,0
ps3 controller charger cable,2.05,3.35,1.3,0.63,1.3,3.35,1,16,518,1.63,0.0309,0.13,0,2.05,0.0625,0
ps3 controller cord,2.06,3.35,1.29,0.63,1.29,3.35,1,18,274,1.62,0.0657,0.11,0,2.06,0.0556,0
75 ft phone cord,0.26,1.52,1.26,4.85,1.26,1.52,1,1,1,5.83,1,0.26,0,0.26,1,0
female rca to female aux,0.1,0.97,0.87,8.7,0.87,0.97,1,1,3,9.75,0.3333,0.1,0,0.1,1,0
female headphone jack to female rca,0.15,0.97,0.82,5.47,0.82,0.97,1,1,1,6.5,1,0.15,0,0.15,1,0
electricians scissors,1.44,1.98,0.54,0.38,0.54,1.98,1,6,10,1.37,0.6,0.24,0,1.44,0.1667,0
usb to psp charger,0.14,0.65,0.51,3.64,0.51,0.65,1,1,1,4.66,1,0.14,0,0.14,1,0
iphone se clutch, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,14,0,0,0,0,0,0,0
iphone 6 plus book case, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,2,0,0,0,0,0,0,0
mini usb hub 2 port, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,1,0,0,0,0,0,0,0
white balance lens cap, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,43,0,0,0,0,0,0,0
sound blockers for apartments, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,1,0,0,0,0,0,0,0
aux cord for receiver, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,3,0,0,0,0,0,0,0
xlr connector, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,28,0,0,0,0,0,0,0
pc soundcard, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,1,0,0,0,0,0,0,0
ps2 dance pad, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,1,0,0,0,0,0,0,0
xbox magic box converter, -   , -   , -   ,#DIV/0!, $-   ,#DIV/0!,0,0,1,0,0,0,0,0,0,0
