Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate
mos spring lightning cable,0,0,0,0,31,0,0,0,0,0,0
mos spring lightning cable,2.54,429.74,10,63,1339,169.19,0.05,0.04,0,0.25,0.16
mos spring lightning cable,0.01,0,0,1,8,0,0.13,0.01,0,0,0
mos spring lightning cable,0.09,0,0,1,41,0,0.02,0.09,0,0,0
metal apple lightning cable,0.01,0,0,1,2,0,0.5,0.01,0,0,0
high quality lightning cables,0.19,0,0,1,4,0,0.25,0.19,0,0,0
indestructible phone charger,0.62,0,0,5,193,0,0.03,0.12,0,0,0
sw 30550 6,0.19,0,0,1,1,0,1,0.19,0,0,0
smead mos spring 10ft micro usb cable,0.07,0,0,1,2,0,0.5,0.07,0,0,0
best indestructible micro usb 10 ft cable,0.18,0,0,1,1,0,1,0.18,0,0,0
mos charging cable,0,0,0,0,1,0,0,0,0,0,0
lightning to usb cable mos spring 10ft,0.01,0,0,1,4,0,0.25,0.01,0,0,0
spring for cell phone charger,0.18,0,0,1,1,0,1,0.18,0,0,0
sewell iphone cable,0.01,0,0,1,2,0,0.5,0.01,0,0,0
mos spring lightning connector,0.01,10.25,1,1,2,1025,0.5,0.01,0,0.01,1
mos micro usb cable,0.01,0,0,1,4,0,0.25,0.01,0,0,0
mos micro usb cable,0,0,0,0,3,0,0,0,0,0,0
mos spring lightning cable 10 ft,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring micro usb cable aluminum heads with spring relief deep grey 3 ft,0.16,13.4,1,2,5,83.75,0.4,0.08,0,0.16,0.5
mos spring micro usb cable aluminum heads with spring relief deep grey 3 ft,0.17,0,0,1,2,0,0.5,0.17,0,0,0
mos spring micro usb cable aluminum heads with spring relief deep grey 3 ft,0.05,13.59,1,2,5,271.8,0.4,0.02,0,0.05,0.5
mos spring micro usb cable aluminum heads with spring relief deep grey 3 ft,0.19,0,0,1,8,0,0.13,0.19,0,0,0
strong android phone charger,0.23,0,0,1,1,0,1,0.23,0,0,0
mos spring micro usb cable aluminum heads with spring relief deep grey 6 ft,0.16,0,0,2,9,0,0.22,0.08,0,0,0
mos spring micro usb cable aluminum heads with spring relief deep grey 6 ft,0.01,0,0,1,4,0,0.25,0.01,0,0,0
auxiliary cord best buy,0.2,34.84,1,1,5,174.2,0.2,0.2,0,0.2,1
spring lightning charge cord,0.13,0,0,1,1,0,1,0.13,0,0,0
lifetime watrenty charger micro usb,0.19,0,0,1,1,0,1,0.19,0,0,0
mos cable ties,0.17,10.52,2,2,5,61.88,0.4,0.08,0,0.08,1
spring charge cable,0.14,0,0,1,2,0,0.5,0.14,0,0,0
smartphone heavy duty charging cable,0.36,0,0,2,5,0,0.4,0.18,0,0,0
mos spring lightning cable mfi aluminum heads steel spring relief & exoskeleton braided jacket deep grey v2 0 3 ft,0.01,0,0,1,1,0,1,0.01,0,0,0
aux cable strong,0.18,0,0,1,2,0,0.5,0.18,0,0,0
sewell direct mos spring usb cord,0.1,0,0,1,1,0,1,0.1,0,0,0
smartphone unbreakable charger,0.18,0,0,1,3,0,0.33,0.18,0,0,0
10ft unbreakable phone charger,0.08,0,0,1,1,0,1,0.08,0,0,0
vivitar spring charger cable,0.16,0,0,1,4,0,0.25,0.16,0,0,0
buy mos spring cable,0.12,0,0,1,1,0,1,0.12,0,0,0
high quality aux,0.15,14.78,2,1,9,98.53,0.11,0.15,0,0.08,2
spring phone charger,0.11,0,0,1,6,0,0.17,0.11,0,0,0
mos spring micro usb,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring micro usb,0.02,0,0,2,9,0,0.22,0.01,0,0,0
aux cord,0.2,0,0,1,23,0,0.04,0.2,0,0,0
unbreakabke iphone charger,0.19,0,0,1,1,0,1,0.19,0,0,0
mos charge cable,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring usb c 6ft,0.09,0,0,1,2,0,0.5,0.09,0,0,0
mos spring usb,0.01,26.51,1,1,4,2651,0.25,0.01,0,0.01,1
indestructible apple phone charger cords,0.18,0,0,1,2,0,0.5,0.18,0,0,0
micro usb cable lifetime warranty,0.07,0,0,1,7,0,0.14,0.07,0,0,0
mos spring micro usb cable 6ft amazon,0.1,0,0,1,1,0,1,0.1,0,0,0
unbreakable lightning charger,0.19,0,0,1,2,0,0.5,0.19,0,0,0
unbreakable lighting cable mos,0.01,0,0,1,1,0,1,0.01,0,0,0
unbreakable micro usb cable 6ft,0.19,0,0,1,1,0,1,0.19,0,0,0
usb to lightning cable,0.05,0,0,1,1,0,1,0.05,0,0,0
teal aux cord,0.2,0,0,1,7,0,0.14,0.2,0,0,0
mos lightning spring cable,0.09,0,0,1,1,0,1,0.09,0,0,0
15 foot micro usb cable braided,0.19,0,0,1,2,0,0.5,0.19,0,0,0
most durable micro usb charger,0,0,0,0,3,0,0,0,0,0,0
spring lightning cable i phone6,0.17,0,0,1,1,0,1,0.17,0,0,0
lightning spring charger,0.38,33.17,1,2,3,87.29,0.67,0.19,0,0.38,0.5
mos spring charger cord,0.08,0,0,1,1,0,1,0.08,0,0,0
unbreakable phone charger,0.3,0,0,2,82,0,0.02,0.15,0,0,0
unbreakable micro usb charger,0.17,13.31,1,2,12,78.29,0.17,0.08,0,0.17,0.5
unbreakable chargers,0,0,0,0,2,0,0,0,0,0,0
unbreakable chargers,0.2,0,0,1,3,0,0.33,0.2,0,0,0
unbreakable android charger,0.12,0,0,1,22,0,0.05,0.12,0,0,0
mos spring 6ft microusb,0.1,13.31,1,1,1,133.1,1,0.1,0,0.1,1
unbreakable iphone charger cable,0.19,0,0,2,2,0,1,0.1,0,0,0
mos spring lighning cable 6 ft,0.04,0,0,1,1,0,1,0.04,0,0,0
mos spring charger 6ft,0.01,0,0,1,1,0,1,0.01,0,0,0
sewell indestructible charging,0.01,0,0,1,1,0,1,0.01,0,0,0
mos apple cord,0.13,0,0,1,1,0,1,0.13,0,0,0
15ft micro usb cable,0.2,0,0,1,11,0,0.09,0.2,0,0,0
15 ft micro usb cable,0.37,0,0,2,23,0,0.09,0.18,0,0,0
unbreakable iphone lightning cable,0,0,0,0,4,0,0,0,0,0,0
mos cable lightning,0.06,0,0,1,1,0,1,0.06,0,0,0
unbreakable mini usb,0.18,0,0,1,2,0,0.5,0.18,0,0,0
durable aux cord,0.68,18.78,2,5,112,27.62,0.04,0.14,0,0.34,0.4
mos spring cable lightning,0.01,52.29,3,1,1,5229,1,0.01,0,0,3
1ft micro usb cable,0.15,0,0,1,9,0,0.11,0.15,0,0,0
aluminum micro usb cable,0.14,0,0,1,2,0,0.5,0.14,0,0,0
the indestructible phone cord,0.18,0,0,1,1,0,1,0.18,0,0,0
mos spring micro usb cably iphone 6,0.01,0,0,1,1,0,1,0.01,0,0,0
15 ft aux cable,0.18,0,0,1,23,0,0.04,0.18,0,0,0
spring usb cable,0,0,0,0,4,0,0,0,0,0,0
6 aux cord,0,0,0,0,1,0,0,0,0,0,0
red aux cable,0.18,0,0,1,1,0,1,0.18,0,0,0
unbreakable iphone 6 plus cable,0.17,0,0,1,1,0,1,0.17,0,0,0
best indestructible micro usb,0.15,0,0,1,1,0,1,0.15,0,0,0
10 foot mos spring lightning cable,0.17,0,0,1,1,0,1,0.17,0,0,0
3.5 mm cord,0.01,9.8,2,1,1,980,1,0.01,0,0,2
sewell mos lightning cable,0.01,20.64,2,1,1,2064,1,0.01,0,0,2
iphone 5 cable spring,0.17,0,0,1,1,0,1,0.17,0,0,0
metal braided micro usb,0.4,0,0,2,2,0,1,0.2,0,0,0
6ft mos spring lightning cable,0.22,0,0,2,2,0,1,0.11,0,0,0
6ft mos spring lightning cable,0.03,0,0,1,1,0,1,0.03,0,0,0
