g_id,title,g_brand,link,description
SW-9895,Sony HDR-SR11E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-sr11e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-SR11E  with your computer's USB port. Will also work with other devices that have mini USB interfaces such as phones and GPS units.
SW-9894,Sony HDR-SR11  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-sr11--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-SR11  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9893,Sony HDR-SR10E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-sr10e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-SR10E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9892,Sony HDR-SR10  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-sr10--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-SR10  with your computer's USB port. We can also use this cable to connect to other USB devices.
SW-9891,Sony HDR-SR1E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-sr1e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-SR1E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9890,Sony HDR-SR1  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-sr1--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-SR1  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB Devices.
SW-9889,Sony HDR-HC9E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc9e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC9E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9888,Sony HDR-HC9  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc9--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC9  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9887,Sony HDR-HC7E  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc7e--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC7E  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
SW-9886,Sony HDR-HC7  USB 2.0 Data Sync Cable 6' ft,MRP,https://sewelldirect.com/sony-hdr-hc7--usb-20-data-sync-cable-6-ft,The Mini USB Device Cable from Sewell allows you to sync and charge your Sony HDR-HC7  with your computer's USB port. You can also use this cable to connect your computer to other Mini USB devices.
